Kategorie NEU,Sortierung,Produktbezeichnung,Produzent  ,Ländleherz,"Saisonal 
erhältlich",Produkt Text
Alkoholfreie Gertänke & Sirup,Nektar,SUTTERLÜTY'S SCHWARZER JOHANNISBEER NEKTAR,"Winder Beeren, Dornbirn",Us'm Ländle,,In diesen Klassiker aus Omas Zeiten kommen nur ausgesuchte Johannisbeeren aus den Beerengärten von Martin und Peter Winder im Hohenemser Ried. Nach der Ernte werden die sonnengereiften Beeren auf traditionelle Weise gepresst und in einem schonenden Verfahren abgefüllt. Nur reines Wasser und etwas Zucker kommen noch in den Saft. Sonst nichts. Deshalb schmeckt Sutterlüty’s Schwarzer Johannisbeer Nektar so b’sundrig fruchtig-frisch und ganz natürlich.
Alkoholfreie Gertänke & Sirup,Sirup,SUTTERLÜTY'S HOLDERBEEREN SIRUP,"Winder Beeren, Dornbirn",Us'm Ländle,,Die handverlesenen Holderbeeren werden im Dornbirner und Hohenemser Ried geerntet. Danach entsaftet sie die Familie Winder auf besonders schonende Art am eigenen Hof in Dornbirn. Nun wird der pure Saft nur noch mit Zucker verfeinert. Konservierungsmittel oder gar Aromen kommen nicht einmal in die Nähe der Flaschen. Deshalb schmeckt Sutterlüty’s Holderbeeren Sirup so b’sundrig fruchtig-frisch und ganz natürlich.
Alkoholfreie Gertänke & Sirup,Sirup,SUTTERLÜTY'S HOLDERBLÜTEN SIRUP,"Winder Beeren, Dornbirn",Us'm Ländle,,"Die meisten von uns haben ihren ersten Holdersirup als Kind getrunken. Und so unvergesslich schmeckt auch Sutterlüty’s Holdersirup. Die Holderblüten für diesen traditionellen Durstlöscher stammen aus den Beerengärten von Beeren Winder im Dornbirner und Hohenemser Ried. Nach der händischen Ernte setzt man die Blüten wie zu Omas Zeiten nur mit Wasser, Zucker und ein wenig Zitronensäure an. Nach ein paar Tagen entwickeln die Holderblüten ihr b’sundriges Aroma."
Alkoholfreie Gertänke & Sirup,Sirup,SUTTERLÜTY'S SCHWARZER JOHANNISBEER SIRUP,"Winder Beeren, Dornbirn",Us'm Ländle,,Die Johannisbeeren für diesen Sirup stammen aus den Beerengärten von Martin und Peter Winder im Hohenemser Ried. In ihrer Beerenküche werden die sonnengereiften Johannisbeeren noch auf traditionelle Weise gepresst. Danach wird der pure Saft nur noch mit Zucker verfeinert. Konservierungsmittel oder gar Aromen kommen nicht einmal in die Nähe der Flaschen. Deshalb schmeckt Sutterlüty’s Johannisbeer Sirup so b’sundrig fruchtig-frisch und ganz natürlich.
,,,,,,
,,,,,,
,,,,,,
Alkoholische Getränke,Cider & Most,SUTTERLÜTY'S APFEL-PERLWEIN,"Dietrich - Vorarlberger Kostbarkeiten, Lauterach",Ländle Pur,,
Alkoholische Getränke,Brände,SUTTERLÜTY'S BODENSEE OBSTLER,"Privatdestillerie Pfanner, Lauterach",Us'm Ländle,,"Seit 1860 werden in der Privatdestillerie Hermann Pfanner edle Brände und Schnäpse gebrannt. Für Sutterlüty’s Schnäpe und Brände verwendet das traditionsreiche Unternehmen lediglich mit großer Sorgfalt ausgewählte vollreife Früchte. Gebrannt wird bei den Pfanners auch heute noch, so wie vor 160 Jahren, im traditionellen Doppelbrandverfahren. Vollreife Äpfel und Birnen aus der Bodenseeregion bilden die Grundlage für diesen fruchtigen Obstler."
Alkoholische Getränke,Brände,SUTTERLÜTY'S LÄNDLE WILLIAMSBRAND,"Privatdestillerie Pfanner, Lauterach",Us'm Ländle,,"Seit 1860 werden in der Privatdestillerie Hermann Pfanner edle Brände und Schnäpse gebrannt. Für Sutterlüty’s Schnäpe und Brände verwendet das traditionsreiche Unternehmen lediglich mit großer Sorgfalt ausgewählte vollreife Früchte. Gebrannt wird bei den Pfanners auch heute noch, so wie vor 160 Jahren, im traditionellen Doppelbrandverfahren. Handverlesene, vollreife Williamsbirnen bilden die Basis für diesen aromatischen Tropfen."
Alkoholische Getränke,Brände,SUTTERLÜTY'S ORIGINAL SUBIRER,"Privatdestillerie Pfanner, Lauterach",Ländle Pur,,"Seit 1860 werden in der Privatdestillerie Hermann Pfanner edle Brände und Schnäpse gebrannt. Für Sutterlüty’s Schnäpe und Brände verwendet das traditionsreiche Unternehmen lediglich mit großer Sorgfalt ausgewählte vollreife Früchte. Gebrannt wird bei den Pfanners auch heute noch, so wie vor 160 Jahren, im traditionellen Doppelbrandverfahren. Die Subira, eine uralte Birnensorte aus dem Ländle, bildet die Grundlage für diesen b’sundrig intensiven und kraftvollen Edelbrand."
Alkoholische Getränke,Brände,SUTTERLÜTY'S HONIG WILLIAMS,"Privatdestillerie Pfanner, Lauterach",Us'm Ländle,,"Seit 1860 werden in der Privatdestillerie Hermann Pfanner edle Brände und Schnäpse gebrannt. Für Sutterlüty’s Schnäpe und Brände verwendet das traditionsreiche Unternehmen lediglich mit großer Sorgfalt ausgewählte vollreife Früchte. Gebrannt wird bei den Pfanners auch heute noch, so wie vor 160 Jahren, im traditionellen Doppelbrandverfahren. Vollreife Williamsbirnen und feinster Bienenhonig bilden die Grundlage für diesen elegant-süßen Honig Williamsschnaps."
Alkoholische Getränke,Brände,SUTTERLÜTY'S WILLIAMSBRAND,"Privatdestillerie Pfanner, Lauterach",Us'm Ländle,,"Seit Jahrzehnten einer der besten Williamsbrände - Die Williamsbirne wurde 1828 erstmals in Frankreich angepflanzt. Heute wächst diese weltweit bedeutendste Birnensorte in vielen Teilen Mitteleuropas – im Wallis, im Südtirol, in der Wachau und auch am Bodensee. Die Privatdestillerie Pfanner verwendet nur die besten Früchte, destilliert die Maische sorgsam und erzeugt seit Jahrzehnten den b’sundrigen Pfanner Williamsbrand."
Alkoholische Getränke,Cider & Most,SUTTERLÜTY'S APFELCIDER,"Mosterei Kramml, Lustenau",Ländle Pur,,Andreas Krammel keltert in seiner Mosterei in Lustenau aus der Apfelernte von alten Rheintaler Streuobstwiesen einen edlen Apfelwein. Nach der Gärung wird der Wein mit etwas unvergorenem Apfelsaft und Kohlensäure in Flaschen gefüllt. So entsteht Sutterlüty’s Apfelcider – ein furchtig-spritziger Genuss.
Alkoholische Getränke,Cider & Most,SUTTERLÜTY'S APFELMOST VERGÄRT,"Mosterei Kramml, Lustenau",Ländle Pur,,"Für Sutterlüty’s Most werden nur beste Äpfel von Vorarlberger Streuobstwiesen ausgewählt. Im Herbst wird die Apfelernte von Andreas Krammel gekeltert, mit reiner Hefe vergoren und in 3 bis 4 Monaten reift dann Sutterlüty’s Apfelmost mit einem natürlich-feinen Säureverhältnis heran. Eine reine Gabe der Natur mit 6,4 % Vol. Alkoholgehalt, die sich bestens zum Spritzen eignet."
Alkoholische Getränke,Cider & Most,SUTTERLÜTY'S GLÜHMOST,"Mosterei Kramml, Lustenau",Us'm Ländle,,"Diese feine Spezialität aus der Mosterei Krammel enthält nach einem traditionellen Familienrezept nur das Beste aus frischen Äpfeln aus der Region, verfeinert mit winterlichen Gewürzen. Und weil er mit rund 6 % nur halb so viel Alkohol enthält wie Glühwein, ist Sutterlüty’s Glühmost auch noch b’sundrig leicht bekömmlich."
,,,,,,
,,,,,,
,,,,,,
Pesto & Chutney,Pesto,SUTTERLÜTY'S BIO BÄRLAUCH CREME,"Naturreich, Grossdorf",Us'm Ländle,,"Zum Bärlauch aus zertifizierter Wildsammlung in Vorarlberg gibt Wildkräuterexperte Reiner Metzler nur noch Bio Olivenöl und eine Prise Ursalz. So ist ein b’sundrig natürlicher Genuss die Krönung für jeden Teller Nudeln. Mit ihrem würzigen Geschmack und ihrer cremigen Konsistenz verfeinert Sutterlüty’s Bio Bärlauchcreme im Handumdrehen Nudeln, Suppen, Salate, Dips, Saucen und vieles mehr."
Pesto & Chutney,Pesto,SUTTERLÜTY'S BASILIKUM PESTO,"Söhmsen's Manufaktur, Dornbirn",Us'm Ländle,,In der Dornbirner Spezialitätenmanufaktur Sohm verarbeitet man den Bärlauch vom Schlossberg der Familie Waldburg-Zeil mit ausgesuchten Zutaten und besten Ölen zu einem kräftigen Pesto.
Pesto & Chutney,Pesto,SUTTERLÜTY'S BÄRLAUCHPESTO,"Söhmsen's Manufaktur, Dornbirn",Us'm Ländle,,"Für Sutterlüty’s Basilikum Pesto verwendet Wolfgang Sohm in seiner kleinen Dornbirner Spezialitätenmanufaktur nur die besten Zutaten: Feinste Öle, knackige Walnüsse, Parmesan, einen Hauch von Knoblauch und frisches Basilikum aus Vorarlberg."
Pesto & Chutney,Chutney,SUTTERLÜTY'S APFEL-BIRNEN-CHILI CHUTNEY,"Söhmsen's Manufaktur, Dornbirn",Us'm Ländle,,"Mit frisch gepresstem Apfel-Birnen-Direktsaft und natürlichem Apfel-Birnen-Essig aus Rheintaler Streuobst entsteht in Söhmsen’s Spezialitäten-Manufaktur in Dornbirn dieses fruchtige Apfel Birne Chili Chutney. Ein b’sundriger Genuss zu Reis, Fisch, Geflügel, gegrilltem, Käse und Speck. Aber auch zum Verfeinern von Saucen – oder ganz einfach pur aufs Brot."
Pesto & Chutney,Chutney,SUTTERLÜTY'S ZWETSCHGEN-CURRY CHUTNEY,"Söhmsen's Manufaktur, Dornbirn",Us'm Ländle,,"Aus reifen, handgepflückten Ländle Zwetschgen und ganz ohne Geschmacksverstärker entsteht in Söhmsen’s Spezialitäten-Manufaktur in Dornbirn dieses fruchtige Zwetschge Curry Chutney. Ein b’sundriger Genuss zu Reis, Fisch, Geflügel, Gegrilltem, Käse und Speck. Aber auch zum Verfeinern von Saucen – oder ganz einfach pur aufs Brot."
,,,,,,
,,,,,,
,,,,,,
Sauergemüse,Sauergemüse,SUTTERLÜTY'S CORNICHONS,"Familie Hirscher, Meckenbeuren",,,Die kleinen Gewürzgurken kommen frisch aus dem Bauerngarten der Familie Hirscher. Senior-Chef Siegfried kümmert sich um den Anbau und erntet händisch die reifen Früchte. Eingelegt werden die Gurken nach einem traditionellen Rezept seiner Frau Waltraud mit frischen Kräutern und Gewürzen aus dem eigenen Garten. Schon zwei Stunden nach der Ernte sind die Gurken im Glas. Deshalb sind sie auch so b'sundrig knackig.
Sauergemüse,Sauergemüse,SUTTERLÜTY'S GEWÜRZGURKEN,"Familie Hirscher, Meckenbeuren",,,"Weil Gemüse direkt aus der Region einfach unvergleichlich ist, aber leider nicht das ganze Jahr über Saison hat, legt Familie Hirscher, aus Meckenbeuren am Bodensee, es nach alter Tradition in fein abgeschmeckten Branntweinessigsud ein und verfeinert es mit ein paar handverlesenen Gewürzen. Nach altbewährter Tradition und mit besten Gewürzen verfeinert sind Sutterlüty’s Gewürzgurken in zwei Stunden vom Feld im Glas."
Sauergemüse,Sauergemüse,SUTTERLÜTY'S GURKEN-PAPRIKA-TÖPFLE,"Familie Hirscher, Meckenbeuren",,,"Die feinen Gurken und Paprika für dieses sauer-pikante Töpfle werden von der Familie Hirscher in Handarbeit angebaut, geerntet und mit frischen Kräutern und Gewürzen aus dem eigenen Garten eingelegt."
Sauergemüse,Sauergemüse,SUTTERLÜTY'S KAROTTEN SALAT,"Familie Hirscher, Meckenbeuren",,,Die zarten Karotten kommen frisch aus dem Bauerngarten der  Familie Hirscher. Senior-Chef Siegfried kümmert sich um den Anbau und erntet die reifen Karotten händisch. Seine Frau Waltraud bereitet den feinen Salat nach altem Hausrezept zu. Unser Servier-Tipp: Salat abtropfen lassen und vor dem Servieren mit zwei bis drei Löffeln Schlagrahm verfeinern. So schmeckt er b’sundrig fein.
Sauergemüse,Sauergemüse,SUTTERLÜTY'S PAPRIKATÖPFLE,"Familie Hirscher, Meckenbeuren",,,Die feinen Paprika kommen frisch aus dem Bauerngarten der Familie Hirscher. Nach altbewährter Tradition und mit besten Gewürzen verfeinert ist Sutterlüty’s Paprikatöpfle ein b’sundriger Genuss.
Sauergemüse,Sauergemüse,SUTTERLÜTY'S RANDIG SALAT,"Familie Hirscher, Meckenbeuren",,,Die roten Rüben kommen frisch aus dem Bauerngarten der Familie Hirscher. Senior-Chef Siegfried kümmert sich um den Anbau und erntet händisch die reifen Früchte. Eingelegt werden die roten Rüben nach einem traditionellen Rezept seiner Frau Waltraud mit frischen Kräutern und Gewürzen aus dem eigenen Garten. Deshalb ist der Randig Salat auch so b’sundrig fein im Geschmack.
Sauergemüse,Sauergemüse,SUTTERLÜTY'S SELLERIE SALAT,"Familie Hirscher, Meckenbeuren",,,"Nur den besten Sellerie sucht Senior-Chef Siegfried Hirscher bei Gemüsebauern aus der Nachbarschaft aus. Seine Frau Waltraud bereitet daraus dann nach altem Hausrezept der Familie diesen feinen Salat zu. Unser Tipp: Damit der Sutterlüty’s Selleriesalat b’sundrig fein und saftig schmeckt, vor dem Öffnen kurz schütteln."
Sauergemüse,Sauergemüse,SUTTERLÜTY'S SENFGURKEN,"Familie Hirscher, Meckenbeuren",,,"Weil Gemüse direkt aus der Region einfach unvergleichlich ist, aber leider nicht das ganze Jahr über Saison hat, legt Familie Hirscher, aus Meckenbeuren am Bodensee, es nach alter Tradition in fein abgeschmeckten Branntweinessigsud ein und verfeinert es mit ein paar handverlesenen Gewürzen. Nach traditionellem Rezept mit Senfkörnern verfeinert sind Sutterlüty’s Senfgurken in zwei Stunden vom Feld im Glas."
,,,,,,
,,,,,,
,,,,,,
Fleisch,Geflügel,SUTTERLÜTY'S BIO HENNELE,"Biohof Behmann, St. Gerold",Us'm Ländle,,"Sutterlüty's Bio Hennele werden bei Familie Behmann in Sankt Gerold im großen Walsertal streng nach Bio-Kriterien aufgezogen: In Freilandhaltung mit mindestens vier Quadratmeter Platz pro Huhn und einem artgerechten Stall, der mit Stroh und Sägespänen eingestreut ist, können die Hühner ihrem natürlichen Scharrtrieb freien Lauf lassen."
Fleisch,Geflügel,SUTTERLÜTY'S BIO HENNELE FILET,"Biohof Behmann, St. Gerold",Us'm Ländle,,"Sutterlüty's Bio Hennele werden bei Familie Behmann in Sankt Gerold im großen Walsertal streng nach Bio-Kriterien aufgezogen: In Freilandhaltung mit mindestens vier Quadratmeter Platz pro Huhn und einem artgerechten Stall, der mit Stroh und Sägespänen eingestreut ist, können die Hühner ihrem natürlichen Scharrtrieb freien Lauf lassen."
Fleisch,Geflügel,SUTTERLÜTY'S BIO HENNELE KEULE,"Biohof Behmann, St. Gerold",Us'm Ländle,,"Sutterlüty's Bio Hennele werden bei Familie Behmann in Sankt Gerold im großen Walsertal streng nach Bio-Kriterien aufgezogen: In Freilandhaltung mit mindestens vier Quadratmeter Platz pro Huhn und einem artgerechten Stall, der mit Stroh und Sägespänen eingestreut ist, können die Hühner ihrem natürlichen Scharrtrieb freien Lauf lassen."
Fleisch,Geflügel,SUTTERLÜTY'S BIO HENNELE  FLÜGERL,"Biohof Behmann, St. Gerold",Us'm Ländle,,"Sutterlüty's Bio Hennele werden bei Familie Behmann in Sankt Gerold im großen Walsertal streng nach Bio-Kriterien aufgezogen: In Freilandhaltung mit mindestens vier Quadratmeter Platz pro Huhn und einem artgerechten Stall, der mit Stroh und Sägespänen eingestreut ist, können die Hühner ihrem natürlichen Scharrtrieb freien Lauf lassen."
Fleisch,Geflügel,SUTTERLÜTY'S WÄLDERHENNELE FILET,"Karl Heinz Karu, Sulzberg",Us'm Ländle,,"Sutterlüty’s feine Wälderhennele kommen aus Sulzberg im Bregenzerwald. Karl Heinz Karu zieht dort auf seinem Hof seit 1999 die echten Wälderhennele groß. In einem modernen Stall mit genügend Platz, Einstreu aus Weichholzspänen und viel Tageslicht. Gefüttert werden die Wälderhennele mit reinem Getreide. Dank der langsamen Fütterung werden die Hühner erst nach sieben Wochen ohne Transportwege noch direkt am Hof geschlachtet. Auf schnellstem Wege kommen die zarten Wälderhennele dann in die Fleischtheke bei Sutterlüty. Darum ist ihr wunderbar helles, zartes Fleisch auch so ein b’sundriger Genuss."
Fleisch,Geflügel,SUTTERLÜTY'S WÄLDERHENNELE FLÜGEL,"Karl Heinz Karu, Sulzberg",Us'm Ländle,,"Sutterlüty’s feine Wälderhennele kommen aus Sulzberg im Bregenzerwald. Karl Heinz Karu zieht dort auf seinem Hof seit 1999 die echten Wälderhennele groß. In einem modernen Stall mit genügend Platz, Einstreu aus Weichholzspänen und viel Tageslicht. Gefüttert werden die Wälderhennele mit reinem Getreide. Dank der langsamen Fütterung werden die Hühner erst nach sieben Wochen ohne Transportwege noch direkt am Hof geschlachtet. Auf schnellstem Wege kommen die zarten Wälderhennele dann in die Fleischtheke bei Sutterlüty. Darum ist ihr wunderbar helles, zartes Fleisch auch so ein b’sundriger Genuss."
Fleisch,Geflügel,SUTTERLÜTY'S WÄLDERHENNELE FLÜGEL MARINIERT,"Karl Heinz Karu, Sulzberg",Us'm Ländle,,"Sutterlüty’s feine Wälderhennele kommen aus Sulzberg im Bregenzerwald. Karl Heinz Karu zieht dort auf seinem Hof seit 1999 die echten Wälderhennele groß. In einem modernen Stall mit genügend Platz, Einstreu aus Weichholzspänen und viel Tageslicht. Gefüttert werden die Wälderhennele mit reinem Getreide. Dank der langsamen Fütterung werden die Hühner erst nach sieben Wochen ohne Transportwege noch direkt am Hof geschlachtet. Auf schnellstem Wege kommen die zarten Wälderhennele dann in die Fleischtheke bei Sutterlüty. Darum ist ihr wunderbar helles, zartes Fleisch auch so ein b’sundriger Genuss."
Fleisch,Geflügel,SUTTERLÜTY'S WÄLDERHENNELE GANZ,"Karl Heinz Karu, Sulzberg",Us'm Ländle,,"Sutterlüty’s feine Wälderhennele kommen aus Sulzberg im Bregenzerwald. Karl Heinz Karu zieht dort auf seinem Hof seit 1999 die echten Wälderhennele groß. In einem modernen Stall mit genügend Platz, Einstreu aus Weichholzspänen und viel Tageslicht. Gefüttert werden die Wälderhennele mit reinem Getreide. Dank der langsamen Fütterung werden die Hühner erst nach sieben Wochen ohne Transportwege noch direkt am Hof geschlachtet. Auf schnellstem Wege kommen die zarten Wälderhennele dann in die Fleischtheke bei Sutterlüty. Darum ist ihr wunderbar helles, zartes Fleisch auch so ein b’sundriger Genuss."
Fleisch,Geflügel,SUTTERLÜTY'S WÄLDERHENNELE KEULE,"Karl Heinz Karu, Sulzberg",Us'm Ländle,,"Sutterlüty’s feine Wälderhennele kommen aus Sulzberg im Bregenzerwald. Karl Heinz Karu zieht dort auf seinem Hof seit 1999 die echten Wälderhennele groß. In einem modernen Stall mit genügend Platz, Einstreu aus Weichholzspänen und viel Tageslicht. Gefüttert werden die Wälderhennele mit reinem Getreide. Dank der langsamen Fütterung werden die Hühner erst nach sieben Wochen ohne Transportwege noch direkt am Hof geschlachtet. Auf schnellstem Wege kommen die zarten Wälderhennele dann in die Fleischtheke bei Sutterlüty. Darum ist ihr wunderbar helles, zartes Fleisch auch so ein b’sundriger Genuss."
Fleisch,Geflügel,SUTTERLÜTY'S BIO PUTE SCHNITZEL,"Propsteihof Pfister, St. Gerold",Us'm Ländle,,"Sutterlüty's Bio Puten werden bei verschiedenen Partnern aus Vorarlberg streng nach Bio-Kriterien aufgezogen. Koordiniert wird die Aufzucht von Jakob Behmann in St. Gerold. Auf einem großen Freigelände können die Puten picken und scharren wie es ihnen gefällt. In dem artgerechten, mit Stroh und Sägespänen eingestreuten Stall finden die Tiere danach immer ein gemütliches Plätzchen, um sich auszuruhen. Gefüttert werden Sutterlüty's Bio Puten nur mit kontrolliert biologischem Futter. Dank der sorgfältigen Pflege während der Aufzucht fehlt es den Tieren an nichts."
Fleisch,Geflügel,SUTTERLÜTY'S BIO PUTE GESCHNETZELTES,"Propsteihof Pfister, St. Gerold",Us'm Ländle,,"Sutterlüty's Bio Puten werden bei verschiedenen Partnern aus Vorarlberg streng nach Bio-Kriterien aufgezogen. Koordiniert wird die Aufzucht von Jakob Behmann in St. Gerold. Auf einem großen Freigelände können die Puten picken und scharren wie es ihnen gefällt. In dem artgerechten, mit Stroh und Sägespänen eingestreuten Stall finden die Tiere danach immer ein gemütliches Plätzchen, um sich auszuruhen. Gefüttert werden Sutterlüty's Bio Puten nur mit kontrolliert biologischem Futter. Dank der sorgfältigen Pflege während der Aufzucht fehlt es den Tieren an nichts."
Fleisch,Geflügel,SUTTERLÜTY'S BIO PUTE FLÜGERL,"Propsteihof Pfister, St. Gerold",Us'm Ländle,,"Sutterlüty's Bio Puten werden bei verschiedenen Partnern aus Vorarlberg streng nach Bio-Kriterien aufgezogen. Koordiniert wird die Aufzucht von Jakob Behmann in St. Gerold. Auf einem großen Freigelände können die Puten picken und scharren wie es ihnen gefällt. In dem artgerechten, mit Stroh und Sägespänen eingestreuten Stall finden die Tiere danach immer ein gemütliches Plätzchen, um sich auszuruhen. Gefüttert werden Sutterlüty's Bio Puten nur mit kontrolliert biologischem Futter. Dank der sorgfältigen Pflege während der Aufzucht fehlt es den Tieren an nichts."
